Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 103.06013184451156, 'y': 106.68639673747504, 'level': np.str_('b')}, Fitness: 22003.378024634032
Agent: {'x': 101.49516908224665, 'y': 100.11289281677877, 'level': np.str_('c')}, Fitness: 20313.86065517767
Agent: {'x': 98.27167010059074, 'y': 92.9146804537951, 'level': np.str_('b')}, Fitness: 18290.458988190192
Agent: {'x': 109.04528486758733, 'y': 81.34348827515161, 'level': np.str_('b')}, Fitness: 18507.637236623
Agent: {'x': 107.9850347992453, 'y': 98.33585272223449, 'level': np.str_('c')}, Fitness: 21320.70767120321
Agent: {'x': 103.36017840173261, 'y': 117.28058603218855, 'level': np.str_('c')}, Fitness: 24428.062339291573
Agent: {'x': 100.73421925918609, 'y': 100.05863685648409, 'level': np.str_('c')}, Fitness: 20149.11373933553
Agent: {'x': 118.96900955803636, 'y': 87.94197209191485, 'level': np.str_('b')}, Fitness: 21887.415690635276
Agent: {'x': 94.77121833401443, 'y': 91.22353948340366, 'level': np.str_('c')}, Fitness: 17293.31798039354
Agent: {'x': 89.20803812417492, 'y': 110.26477941580573, 'level': np.str_('c')}, Fitness: 20106.395645580542
Agent: {'x': 81.51291015640356, 'y': 99.06389740656502, 'level': np.str_('b')}, Fitness: 16458.01029154436
Agent: {'x': 99.5057611474466, 'y': 103.73389944001362, 'level': np.str_('b')}, Fitness: 20662.11839456355
Agent: {'x': 103.68560690149029, 'y': 93.42318121970983, 'level': np.str_('c')}, Fitness: 19468.595867741114
Agent: {'x': 85.45449831320099, 'y': 101.73537262575609, 'level': np.str_('c')}, Fitness: 17642.55732526231
Agent: {'x': 93.33407221088719, 'y': 95.28899565708343, 'level': np.str_('b')}, Fitness: 17791.241728802772
Agent: {'x': 100.91034511577334, 'y': 107.85432247077091, 'level': np.str_('c')}, Fitness: 21805.452627013517
Agent: {'x': 112.01233326770908, 'y': 121.41265348563091, 'level': np.str_('b')}, Fitness: 27287.79523049821
Agent: {'x': 102.87079696934337, 'y': 101.0407161277152, 'level': np.str_('b')}, Fitness: 20791.627184709392
Agent: {'x': 88.78452297740354, 'y': 87.97699641166409, 'level': np.str_('b')}, Fitness: 15622.643417943054
Agent: {'x': 103.19196175875604, 'y': 70.16029795118037, 'level': np.str_('b')}, Fitness: 15571.048380218972
Agent: {'x': 91.77464032348509, 'y': 105.35324405114025, 'level': np.str_('c')}, Fitness: 19511.890638604174
Agent: {'x': 95.08380611483426, 'y': 116.18706337431767, 'level': np.str_('c')}, Fitness: 22530.363880831104
Agent: {'x': 96.43915088914714, 'y': 102.78033388578845, 'level': np.str_('c')}, Fitness: 19854.306857893847
Agent: {'x': 102.55080694782781, 'y': 97.68502590373294, 'level': np.str_('c')}, Fitness: 20049.032291463624
Agent: {'x': 98.42743829040347, 'y': 103.40478169164159, 'level': np.str_('b')}, Fitness: 20380.50948510724
Agent: {'x': 87.54628589575104, 'y': 105.57802487281083, 'level': np.str_('b')}, Fitness: 18811.07151018444
Agent: {'x': 103.3729411250252, 'y': 97.9251508028074, 'level': np.str_('b')}, Fitness: 20275.300116590497
Agent: {'x': 87.13770672372625, 'y': 88.56278173662874, 'level': np.str_('c')}, Fitness: 15426.346241999869
Agent: {'x': 97.13885164712462, 'y': 79.87327205425575, 'level': np.str_('b')}, Fitness: 15815.696087975239
Agent: {'x': 110.41913077016555, 'y': 97.77495134886749, 'level': np.str_('c')}, Fitness: 21742.325551312326
Agent: {'x': 97.63950955103759, 'y': 112.20005782639605, 'level': np.str_('b')}, Fitness: 22122.326801613777
Agent: {'x': 112.64644911519257, 'y': 91.19488665948597, 'level': np.str_('b')}, Fitness: 21005.72985109816
Agent: {'x': 118.1009249889927, 'y': 92.53579957249973, 'level': np.str_('b')}, Fitness: 22510.70268577752
Agent: {'x': 91.30708347756895, 'y': 105.49333225664928, 'level': np.str_('b')}, Fitness: 19465.826643791544
Agent: {'x': 107.18437759323028, 'y': 99.95205914871914, 'level': np.str_('b')}, Fitness: 21478.904928117216
Agent: {'x': 95.46231461701821, 'y': 103.80335058680953, 'level': np.str_('b')}, Fitness: 19888.189105086658
Agent: {'x': 100.2656766514888, 'y': 100.84377688522551, 'level': np.str_('b')}, Fitness: 20222.67325085805
Agent: {'x': 94.8552418577961, 'y': 82.9010013293797, 'level': np.str_('b')}, Fitness: 15870.092929314807
Agent: {'x': 93.32232338781753, 'y': 103.09613596941533, 'level': np.str_('c')}, Fitness: 19327.86929432457
Agent: {'x': 99.5553982912638, 'y': 101.72385678831422, 'level': np.str_('b')}, Fitness: 20259.02036882163
Agent: {'x': 104.00599240064031, 'y': 91.48683112280439, 'level': np.str_('b')}, Fitness: 19187.08672413458
